"F:\Program Files (x86)\SteamLibrary\steamapps\common\dota 2 beta\game\bin\win64\dota2.exe" -addon all_deathmatch -tools -steam -4gb

f:\program files (x86)\steamlibrary\steamapps\common\dota 2 beta\game\dota_addons\all_deathmatch\elements\sessions\sessionfinal.dmx#0

1280x720 @24.00 fps
motion blur samples:    per-camera settings
depth of field samples: 64

Frame  	Frame  	Total  	Shot                   	Map                    	DoF    	MBlur  	Total
Number 	Time   	Time   	Name                   	Name                   	Count  	Count  	Count
    229	  1.347	    355	shot1                 	map                   	   64	    8	   64
    230	  1.329	    357	shot1                 	map                   	   64	    8	   64
    231	  1.344	    358	shot1                 	map                   	   64	    8	   64
    232	  1.337	    359	shot1                 	map                   	   64	    8	   64
    233	  1.377	    361	shot1                 	map                   	   64	    8	   64
    234	  1.537	    362	shot1                 	map                   	   64	    8	   64
    235	  1.392	    364	shot1                 	map                   	   64	    8	   64
    236	  1.374	    365	shot1                 	map                   	   64	    8	   64
    237	  1.294	    366	shot1                 	map                   	   64	    8	   64
    238	  1.356	    368	shot1                 	map                   	   64	    8	   64
    239	  1.337	    369	shot1                 	map                   	   64	    8	   64
    240	  1.339	    370	shot1                 	map                   	   64	    8	   64
    241	  1.544	    372	shot1                 	map                   	   64	    8	   64
    242	  1.426	    373	shot1                 	map                   	   64	    8	   64
    243	  1.461	    375	shot1                 	map                   	   64	    8	   64
    244	  1.627	    376	shot1                 	map                   	   64	    8	   64
    245	  1.470	    378	shot1                 	map                   	   64	    8	   64
    246	  1.472	    379	shot1                 	map                   	   64	    8	   64
    247	  1.328	    381	shot1                 	map                   	   64	    8	   64
    248	  1.383	    382	shot1                 	map                   	   64	    8	   64
    249	  1.397	    384	shot1                 	map                   	   64	    8	   64
    250	  1.337	    385	shot1                 	map                   	   64	    8	   64
    251	  1.279	    386	shot1                 	map                   	   64	    8	   64
    252	  1.294	    387	shot1                 	map                   	   64	    8	   64
    253	  1.392	    389	shot1                 	map                   	   64	    8	   64
    254	  1.319	    390	shot1                 	map                   	   64	    8	   64
    255	  1.292	    391	shot1                 	map                   	   64	    8	   64
    256	  1.298	    393	shot1                 	map                   	   64	    8	   64
    257	  1.290	    394	shot1                 	map                   	   64	    8	   64
    258	  1.311	    395	shot1                 	map                   	   64	    8	   64
    259	  1.338	    397	shot1                 	map                   	   64	    8	   64
    260	  1.314	    398	shot1                 	map                   	   64	    8	   64
    261	  1.325	    399	shot1                 	map                   	   64	    8	   64
    262	  1.295	    401	shot1                 	map                   	   64	    8	   64
    263	  1.316	    402	shot1                 	map                   	   64	    8	   64
    264	  1.368	    403	shot1                 	map                   	   64	    8	   64
    265	  1.385	    405	shot1                 	map                   	   64	    8	   64
    266	  1.322	    406	shot1                 	map                   	   64	    8	   64
    267	  1.314	    407	shot1                 	map                   	   64	    8	   64
    268	  1.347	    409	shot1                 	map                   	   64	    8	   64
    269	  1.318	    410	shot1                 	map                   	   64	    8	   64
    270	  1.300	    411	shot1                 	map                   	   64	    8	   64
    271	  1.346	    413	shot1                 	map                   	   64	    8	   64
    272	  1.356	    414	shot1                 	map                   	   64	    8	   64
    273	  1.370	    415	shot1                 	map                   	   64	    8	   64
    274	  1.326	    417	shot1                 	map                   	   64	    8	   64
    275	  1.271	    418	shot1                 	map                   	   64	    8	   64
    276	  1.324	    419	shot1                 	map                   	   64	    8	   64
    277	  1.302	    421	shot1                 	map                   	   64	    8	   64
    278	  1.271	    422	shot1                 	map                   	   64	    8	   64
    279	  1.323	    423	shot1                 	map                   	   64	    8	   64
    280	  1.307	    424	shot1                 	map                   	   64	    8	   64
    281	  1.338	    426	shot1                 	map                   	   64	    8	   64
    282	  1.387	    427	shot1                 	map                   	   64	    8	   64
    283	  1.386	    429	shot1                 	map                   	   64	    8	   64
    284	  1.291	    430	shot1                 	map                   	   64	    8	   64
    285	  1.344	    431	shot1                 	map                   	   64	    8	   64
    286	  1.382	    433	shot1                 	map                   	   64	    8	   64
    287	  1.509	    434	shot1                 	map                   	   64	    8	   64
    288	  1.566	    436	shot1                 	map                   	   64	    8	   64
    289	  1.597	    437	shot1                 	map                   	   64	    8	   64
    290	  1.476	    439	shot1                 	map                   	   64	    8	   64
    291	  1.538	    440	shot1                 	map                   	   64	    8	   64
    292	  1.369	    442	shot1                 	map                   	   64	    8	   64
    293	  1.323	    443	shot1                 	map                   	   64	    8	   64
    294	  1.304	    444	shot1                 	map                   	   64	    8	   64
    295	  1.293	    446	shot1                 	map                   	   64	    8	   64
    296	  1.375	    447	shot1                 	map                   	   64	    8	   64
    297	  1.317	    448	shot1                 	map                   	   64	    8	   64
    298	  1.298	    450	shot1                 	map                   	   64	    8	   64
    299	  1.305	    451	shot1                 	map                   	   64	    8	   64
    300	  1.303	    452	shot1                 	map                   	   64	    8	   64
    301	  1.289	    453	shot1                 	map                   	   64	    8	   64
    302	  1.309	    455	shot1                 	map                   	   64	    8	   64
    303	  1.339	    456	shot1                 	map                   	   64	    8	   64
    304	  1.333	    457	shot1                 	map                   	   64	    8	   64
    305	  1.336	    459	shot1                 	map                   	   64	    8	   64
    306	  1.297	    460	shot1                 	map                   	   64	    8	   64
    307	  1.338	    461	shot1                 	map                   	   64	    8	   64
    308	  1.318	    463	shot1                 	map                   	   64	    8	   64
